DishTitle,Ingredients,Instructions,Published,Rating,Reviews
Squid and Fennel Pasta with Lemon and Herbs,"5 tablespoons olive oil, divided,1 pound squid (bodies and tentacles), bodies sliced ¼ inch thick,Kosher salt and freshly ground black pepper,1 large fennel bulb, thinly sliced lengthwise, plus 2 tablespoons fronds,2 garlic cloves, thinly sliced,¾ teaspoon crushed red pepper flakes,½ lemon, seeds removed, very thinly sliced, divided,12 ounces linguine or fettuccine,½ cup parsley leaves with tender stems","Heat 2 Tbsp. oil in a large skillet over high. Working in 2 batches, season squid with salt and pepper and cook, stirring often, until cooked through, about 3 minutes (don’t overcook or it’ll get rubbery). Transfer to a small bowl.,Reduce heat to medium-high and heat 2 Tbsp. oil in skillet (no need to wipe out). Add fennel slices, season with salt and pepper, and cook, stirring occasionally, until golden brown and soft, 10–12 minutes (some nicely browned bits should be stuck to skillet). Add garlic, red pepper flakes, and half of lemon slices; cook, tossing occasionally, until garlic and lemon are soft, about 2 minutes.,Meanwhile, cook pasta in a large pot of boiling salted water, stirring occasionally, until al dente. Drain pasta, reserving 1 ½ cups pasta cooking liquid.,Add pasta to skillet along with 1 cup cooking liquid. Toss, scraping up any browned bits; season with salt and pepper. Cook, tossing and adding more cooking liquid as needed, until sauce coats pasta, about 3 minutes. Add squid and give it all another toss to combine.,Toss parsley, fennel fronds, remaining lemon slices, and remaining 1 Tbsp. oil in a small bowl; season with salt and pepper. Serve pasta topped with salad.",May 2015,4.5,
Vinegar-Marinated Chicken with Buttered Greens and Radishes,"2 pounds skin-on bone-in chicken thighs,Kosher salt and freshly ground black pepper,¼ cup plus 1 tablespoon distilled white vinegar,1 tablespoon vegetable oil,2 tablespoons unsalted butter,8 radishes, quartered, halved if small,1 bunch mustard greens, leaves torn,4 tablespoons tarragon leaves, divided","Season chicken with salt and pepper and place in a large baking dish. Pour ¼ cup vinegar over chicken and let sit 15–20 minutes. Remove chicken from marinade and pat skin dry. Reserve baking dish (no need to wipe it out).,Preheat oven to 400°. Heat oil in a large skillet over medium. Working in batches, cook chicken, skin side down, until skin is golden brown and crisp, 8–10 minutes; turn and cook until other side is just browned, about 4 minutes. Transfer chicken to reserved baking dish; reserve skillet. Bake chicken until cooked through and an instant-read thermometer inserted into thickest part registers 165°, 10–12 minutes.,Meanwhile, heat butter in same skillet over medium-high. Add radishes, season with salt and pepper, and cook, stirring occasionally, until radishes are browned and tender, about 5 minutes. Add mustard greens and toss to coat; season with salt and pepper. Cook, stirring occasionally, until mustard greens are just wilted, about 2 minutes (they should still have some spring in their step). Add 2 Tbsp. tarragon and remaining 1 Tbsp. vinegar; toss to combine.,Serve greens and radishes with chicken topped with remaining 2 Tbsp. tarragon.",May 2015,3.21,
Snap Pea Salad with Coconut Gremolata,"⅓ cup vegetable oil,1 medium shallot, thinly sliced into rings,Kosher salt,¼ cup unsweetened coconut flakes,¼ cup chopped fresh chives,1 tablespoon finely grated lime zest,½ cup mint leaves, divided,Freshly ground black pepper,1 pound sugar snap peas, halved,2 cups pea shoots (tendrils), torn into large pieces,2 tablespoons fresh lime juice,2 teaspoons fish sauce,Flaky sea salt","Heat oil and shallots in a small saucepan over medium-high. Stir occasionally until golden brown and crisp, 5–8 minutes. Transfer shallots to paper towels; season with kosher salt. Pour shallot oil into a small bowl; let cool.,Meanwhile, toast coconut in same saucepan over medium, stirring occasionally, until edges are golden brown, about 3 minutes. Transfer to a bowl; let cool. Add chives, lime zest, fried shallots, and 3 Tbsp. finely chopped mint and toss; season gremolata with kosher salt and pepper.,Toss snap peas, tendrils, lime juice, fish sauce, remaining torn mint leaves, and 3 Tbsp. shallot oil in a medium bowl; season with flaky sea salt and pepper. Let sit 5 minutes. Serve topped with gremolata.",May 2015,4.2,
Block Island Lobster Salad with Citrus Vinaigrette,"1 small shallot, finely chopped,2 tablespoons mayonnaise,1 tablespoon fresh orange juice,2 teaspoons finely chopped fresh tarragon,2 tablespoons olive oil, plus more for drizzling,1 tablespoon fresh lime juice, plus more for drizzling,Kosher salt and freshly ground black pepper,2 1–1¼-pound lobsters, steamed, meat picked and cut into large pieces, or 2 cups picked cooked lobster meat,1 large or 2 small tomatoes, seeds removed, chopped,½ English hothouse cucumber, peeled, cut into ¼-inch pieces,1 small head of Bibb lettuce, leaves separated,1 avocado, sliced,½ cup pea shoots (tendrils),2 tablespoons very coarsely chopped fresh chives","Whisk shallot, mayonnaise, orange juice, tarragon, 2 Tbsp. oil, and 1 Tbsp. lime juice in a medium bowl; season dressing with salt and pepper.,Combine lobster meat, tomato, and cucumber in another medium bowl. Set aside 3 Tbsp. dressing. Drizzle remaining dressing over lobster mixture and toss to combine; season with salt and pepper.,Arrange lettuce leaves on a platter and drizzle with a little oil and lime juice; season with salt and pepper. Mound lobster salad over lettuce and top with avocado and pea shoots. Spoon reserved dressing over salad and finish with chives.",May 2015,3.7,
Green Salad with Prosciutto Vinaigrette,"4 slices thin prosciutto (about 1 ounce),1 garlic clove, finely grated,¼ cup olive oil,1 tablespoon fresh lemon juice,1 tablespoon white wine vinegar,1 teaspoon honey,Kosher salt and freshly ground black pepper,Mixed green raw fruits and vegetables (such as celery, avocado, Bartlett pear, green beans, cucumber, and kiwi), halved, sliced, and/or cut into wedges","Preheat oven to 300˚. Arrange prosciutto in a single layer on a wire rack set inside a rimmed baking sheet and bake until browned and crisp, 20−25 minutes. Let cool, then crush into bits.,Whisk garlic, oil, lemon juice, vinegar, and honey in a medium bowl to combine. Mix in crushed prosciutto; season with salt and pepper.,To serve, spoon some vinaigrette into a shallow bowl and arrange fruits and vegetables of choice on top. Season with salt and pepper.,Do Ahead:, Vinaigrette can be made 2 days ahead. Cover and chill.",May 2015,3.8,
Sea Bass and Tomato Ceviche,"¼ medium red onion, chopped, plus thin slices for serving,1 large celery stalk, chopped,2 garlic cloves, smashed,¼ habanero chile, seeded,1 tablespoon chopped peeled ginger,½ teaspoon sugar,1 tablespoon kosher salt, plus more,⅓ cup coarsely chopped fresh cilantro,1 pound sea bass fillet, skin, bones, and bloodline removed,½ cup passion fruit juice or fresh orange juice, strained,½ cup (or more) fresh lime juice, strained,1 pound mixed heirloom tomatoes, whole or cut into wedges, depending on size,Microgreens (for serving)","Purée chopped onion, celery, garlic, habanero, ginger, sugar, 1 Tbsp. salt, and ¼ cup water in a blender until smooth. Transfer to a small bowl; stir in cilantro. Cover and chill 1 hour.,Meanwhile, trim fish to create clean edges. Holding your knife at a 45° angle, slice into ¼""-thick pieces; try for one fluid movement per slice to avoid shredding flesh. Transfer to a plate as you go, separating layers with sheets of plastic wrap as needed. Chill until ready to serve.,Strain purée through a fine-mesh sieve into a small bowl, pressing down on solids to extract as much liquid as possible (you should have about ½ cup; this is your “leche de tigre”). Stir in passion fruit juice and lime juice, adding a bit more lime juice to balance acidity if needed.,Arrange fish and tomatoes in shallow bowls; spoon leche de tigre over. Season with salt and top with sliced onion and microgreens. Serve immediately.",May 2015,4,"You guys should really update the recipe preparation, you don't even mention marinating the raw fish in the lime juice. Pretty crucial step for making ceviche. Spooning the mixture over the fish and serving immediately is not going to taste good, nor will it be ceviche.,This recipe does not call for the fish to be marinaded in an acid. As such, it is not a ceviche, but rather raw fish with a bright dressing. Perhaps there was an error or omission in the text, though. There's also no explanation for the role of the ingredients. "
Wok-Fried Rice Noodles with Chicken and Squid,"3 tablespoons vegetable oil,1 small skinless, boneless chicken thigh (about 4 ounces), chopped into ¼-inch pieces,3 ounces squid, coarsely chopped,2 garlic cloves, finely chopped,10 ounces fresh rice noodles; or 8 ounces dried pad thai noodles, soaked 1 hour,1 tablespoon sugar,2 tablespoons Golden Mountain Seasoning Sauce or Thai thin soy sauce,1 tablespoon chopped preserved cabbage (optional),1 tablespoon chopped preserved sweet radish (optional),2 large eggs,4 scallions, chopped,1 tablespoon fish sauce,Freshly ground white pepper,2 cups chopped romaine lettuce,Hot chili paste (such as sambal oelek; for serving)","Heat oil in a large skillet over high. Cook chicken, squid, and garlic, stirring, until chicken is almost cooked through and garlic is golden, about 2 minutes. Add noodles and sugar. Cook, stirring, until noodles start to brown and chicken is cooked through, about 2 minutes. Stir in seasoning sauce and cabbage and radish, if using.,Push noodles to the edge of skillet and crack eggs into the center. Let eggs sizzle slightly, then break up yolks and whites with spatula. Cook until whites start to set. Toss noodles into eggs to coat and to form smaller pieces of egg. Cook, undisturbed, until underside is brown. Turn and add scallions and fish sauce. Season with pepper and toss.,Arrange lettuce on a platter; top with noodle mixture. Serve with chili paste.",May 2015,4.3,
Yellow Salad with Citrus-Date Vinaigrette,"2 Medjool dates, pitted,¼ cup olive oil,2 tablespoons fresh lemon juice,2 tablespoons fresh orange juice,1 tablespoon whole grain Dijon mustard,½ teaspoon ground cumin,Kosher salt and freshly ground black pepper,Mixed yellow and orange raw fruits and vegetables (such as corn, Sun Gold tomatoes, golden beets, apricots, clementines, and pineapple), halved, sliced, and/or cut into wedges","Process dates, oil, lemon juice, orange juice, mustard, and cumin in a food processor until smooth. Thin vinaigrette with water to a pourable consistency; season with salt and pepper.,To serve, spoon some vinaigrette into a shallow bowl and arrange fruits and vegetables of choice on top. Season with salt and pepper.,Do Ahead:, Vinaigrette can be made 2 days ahead. Cover and chill.",May 2015,4,
Slow-Roasted Shallots in Skins,"1 pound whole large shallots, unpeeled","Preheat oven to 425°. Rinse shallots and place on a rimmed baking sheet. Roast until skins are deep golden brown and blistered and flesh is very tender throughout, easily yielding when pierced with a knife, 50–60 minutes.,Let sit until cool enough to handle. Split open to eat, or slip shallots out of skins to use in vinaigrettes, sauces, or condiments.",May 2015,3.4,
Pasta alla Gricia,"1 tablespoon extra-virgin olive oil,6 ounces guanciale (salt-cured pork jowl), cut into ¾-inch pieces,8 ounces rigatoni,Kosher salt,2 teaspoons coarsely ground black pepper, preferably ground with a mortar and pestle,3 ounces Pecorino Romano, finely grated on the small holes of a box grater (about 3 cups)","Heat oil in a large skillet over medium-low. Cook guanciale, stirring often, until it starts to brown and crisp, 10–15 minutes; it will shrink dramatically as the fat renders. Transfer to a small bowl with a slotted spoon; reserve skillet (do not wipe out).,Meanwhile, cook pasta in a large pot of boiling lightly salted water, stirring occasionally, until pasta is about halfway cooked (not quite al dente); drain, reserving 1 ½ cups pasta cooking liquid.,Add ¾ cup pasta cooking liquid to reserved skillet and bring to a gentle boil over medium heat, swirling often to encourage drippings and liquid to emulsify, about 1 minute. Add pasta and cook, tossing often and adding more pasta cooking liquid as needed, until pasta is al dente and a thick, glossy sauce forms, 5–7 minutes (this second cooking is why you undercook the pasta initially).,Increase heat to medium-high. Add guanciale, pepper, and two-thirds of Pecorino; toss well to combine and melt cheese. Serve pasta topped with remaining Pecorino.",May 2015,3.9,
